v4_Code,v5_Code,Sound,Species,Category,Subcategory,Order
NA,COBR1,American crow,Corvus brachyrhyncos,Birds,Corvids,Passeriformes
COCO,COCO1,Common raven,Corvus corax,Birds,Corvids,Passeriformes
CYST,CYST1,Steller's jay,Cyanocitta stelleri,Birds,Corvids,Passeriformes
NA,CYST2,Steller's jay,Cyanocitta stelleri,Birds,Corvids,Passeriformes
NUCO,NUCO1,Clark's nutcracker,Nucifraga columbiana,Birds,Corvids,Passeriformes
PECA,PECA1,Canada jay,Perisoreus canadensis,Birds,Corvids,Passeriformes
NA,ANCA1,Sandhill crane,Antigone canadensis,Birds,Other birds,Gruiformes
NA,BOUM1,Ruffed grouse,Bonasa umbellus,Birds,Other birds,Galliformes
BRCA,BRCA1,Canada goose,Branta canadensis,Birds,Other birds,Anseriformes
BRMA,BRMA1,Marbled murrelet keer call,Brachyramphus marmoratus,Birds,Other birds,Charadriiformes
NA,BRMA2,Marbled murrelet,Brachyramphus marmoratus,Birds,Other birds,Charadriiformes
NA,CACA1,California quail,Callipepla californica,Birds,Other birds,Galliformes
CHMI,CHMI1,"Common nighthawk ""peent""",Chordeiles minor,Birds,Other birds,Caprimulgiformes
CHMI_IRREG,CHMI2,"Common nighthawk ""boom""",Chordeiles minor,Birds,Other birds,Caprimulgiformes
DEFU,DEFU1,Sooty grouse,Dendragapus fuliginosus,Birds,Other birds,Galliformes
NA,DEFU2,Sooty grouse,Dendragapus fuliginosus,Birds,Other birds,Galliformes
NA,GADE1,Wilson's snipe,Gallinago delicata,Birds,Other birds,Charadriiformes
NA,MEGA1,Wild turkey,Meleagris gallapavo,Birds,Other birds,Galliformes
ORPI,ORPI1,Mountain quail,Oreortyx pictus,Birds,Other birds,Galliformes
NA,ORPI2,Mountain quail,Oreortyx pictus,Birds,Other birds,Galliformes
PAFA,PAFA1,Band-tailed pigeon,Patagioenas fasciata,Birds,Other birds,Columbiformes
NA,PAFA2,Band-tailed pigeon,Patagioenas fasciata,Birds,Other birds,Columbiformes
PHNU,PHNU1,Common poorwill,Phalaenoptilus nuttallii,Birds,Other birds,Caprimulgiformes
NA,STDE1,Eurasian collared dove,Streptopelia decaocto,Birds,Other birds,Columbiformes
ZEMA,ZEMA1,Mourning dove,Zenaida macrourus,Birds,Other birds,Columbiformes
AEAC,AEAC1,Northern saw-whet owl,Aegolius acadicus,Birds,Owls,Strigiformes
