v4_Code,v5_Code,Sound,Category,Subcategory,Class,Order,Family,Genus,Species,Sci_Name
NA,ACGE1,American goshawk series call,Birds,Raptors,Aves,Accipitriformes,Accipitridae,Astur,atricapillus,Astur atricapillus
NA,ACGE2,American goshawk scream,Birds,Raptors,Aves,Accipitriformes,Accipitridae,Astur,atricapillus,Astur atricapillus
NA,ACCO1,Cooper's hawk series call,Birds,Raptors,Aves,Accipitriformes,Accipitridae,Astur,cooperii,Astur cooperii
NA,ACST1,Sharp-shinned hawk series call,Birds,Raptors,Aves,Accipitriformes,Accipitridae,Accipiter,striatus,Accipiter striatus
NA,BUJA1,Red-tailed hawk scream,Birds,Raptors,Aves,Accipitriformes,Accipitridae,Buteo,jamaicensis,Buteo jamaicensis
NA,BUJA2,Red-tailed hawk other call,Birds,Raptors,Aves,Accipitriformes,Accipitridae,Buteo,jamaicensis,Buteo jamaicensis
NA,HALE1,Bald eagle,Birds,Raptors,Aves,Accipitriformes,Accipitridae,Haliaeetus,leucocephalus,Haliaeetus leucocephalus
NA,PAHA1,Osprey,Birds,Raptors,Aves,Accipitriformes,Accipitridae,Pandion,haliaetus,Pandion haliaetus
NA,Raptor,Raptor scream call,Birds,Raptors,Aves,Accipitriformes,Accipitridae,,,Accipitrid
BRCA,BRCA1,Canada goose,Birds,Other birds,Aves,Anseriformes,Anatidae,Branta,canadensis,Branta canadensis
CHMI,CHMI1,"Common nighthawk ""peent""",Birds,Other birds,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor
CHMI_IRREG,CHMI2,"Common nighthawk ""boom""",Birds,Other birds,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor
PHNU,PHNU1,Common poorwill,Birds,Other birds,Aves,Caprimulgiformes,Caprimulgidae,Phalaenoptilus,nuttallii,Phalaenoptilus nuttallii
BRMA,BRMA1,Marbled murrelet keer call,Birds,Other birds,Aves,Charadriiformes,Alcidae,Brachyramphus,marmoratus,Brachyramphus marmoratus
NA,BRMA2,Marbled murrelet,Birds,Other birds,Aves,Charadriiformes,Alcidae,Brachyramphus,marmoratus,Brachyramphus marmoratus
NA,GADE1,Wilson's snipe,Birds,Other birds,Aves,Charadriiformes,Scolopacidae,Gallinago,delicata,Gallinago delicata
PAFA,PAFA1,Band-tailed pigeon,Birds,Other birds,Aves,Columbiformes,Columbidae,Patagioenas,fasciata,Patagioenas fasciata
NA,PAFA2,Band-tailed pigeon,Birds,Other birds,Aves,Columbiformes,Columbidae,Patagioenas,fasciata,Patagioenas fasciata
NA,STDE1,Eurasian collared dove,Birds,Other birds,Aves,Columbiformes,Columbidae,Streptopelia,decaocto,Streptopelia decaocto
ZEMA,ZEMA1,Mourning dove,Birds,Other birds,Aves,Columbiformes,Columbidae,Zenaida,macrourus,Zenaida macrourus
NA,FACO1,Merlin,Birds,Raptors,Aves,Falconiformes,Falconidae,Falco,columbarius,Falco columbarius
